data_index,用户名,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,date,是否差评,产品系列,评论长度,评论分词,评论分词_去停用词,情感分数,评论关键词,情感标签,TFIDF向量,是否高价值,可疑程度
26,z0ish70tc9zt5s,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,电脑挺好的，颜值挺好看的，键盘不错,0,否,3,32G,1T,2025-10-25,差评,酷睿版,17,电脑 挺 好 的 ， 颜值 挺 好看 的 ， 键盘 不错,挺 颜值 挺 好看 键盘,0.9946430185993896,颜值 键盘 电脑 不错,正面,[0. 0. 0. ... 0. 0. 0.],False,可信
46,stupidhgz,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,还是非常不错的，但是价格偏高，3500才是合理价位,1,否,3,32G,1T,2025-11-10,差评,酷睿版,25,还是 非常 不错 的 ， 但是 价格 偏高 ， 3500 才 是 合理 价位,偏高 3500 价位,0.8724436760634744,价位 不错 价格,正面,[0. 0. 0. ... 0. 0. 0.],False,可信
66,9***8,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,还可以 非常清晰就是感觉有点卡，弹出的东西太多了,1,该店铺购买≥2次,3,32G,1T,2025-10-09,差评,酷睿版,24,还 可以   非常 清晰 就是 感觉 有点 卡 ， 弹出 的 东西 太多 了,清晰 卡 弹出 太多,0.08094624221152846,清晰 感觉 有点,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
147,木***三,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,键盘手感良好，电池续航不错，接口丰富够用，存储空间是自己理想的版本。,0,否,3,32G,1T,2025-11-26,差评,酷睿版,34,键盘 手感 良好 ， 电池 续航 不错 ， 接口 丰富 够用 ， 存储空间 是 自己 理想 的 版本 。,键盘 手感 电池 续航 接口 够用 存储空间 理想 版本,0.990171517144244,存储空间 键盘 手感 版本 电池,正面,[0. 0. 0. ... 0. 0. 0.],False,可信
246,k***8,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,电脑还可以，只是没等到国补，小孩读书急用，买了一个星期降价了,1,否,3,32G,1T,2025-10-26,差评,酷睿版,30,电脑 还 可以 ， 只是 没 等到 国补 ， 小孩 读书 急用 ， 买 了 一个 星期 降价 了,没 国补 小孩 读书 急用 买 星期 降价,0.3028145850763585,降价 小孩 电脑 读书,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
347,MLee川,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,今天刚买到，其他目前还没发现问题，挺好，就是我想知道，大家的触摸板，按键也这么响吗？？？,0,该店铺购买≥2次,3,32G,1T,2025-10-28,差评,酷睿版,44,今天 刚买 到 ， 其他 目前 还 没 发现 问题 ， 挺 好 ， 就是 我 想 知道 ， 大家 的 触摸板 ， 按键 也 这么 响 吗 ？ ？ ？,刚买 没 发现 挺 想 触摸板 按键 响,0.004730120233017665,按键 大家 问题,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
446,jd_139265ufj,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,物超所值，物美价廉 大品牌值得信赖,0,该店铺购买≥2次,3,32G,1T,2025-11-08,差评,酷睿版,17,物超所值 ， 物美价廉   大 品牌 值得 信赖,物超所值 物美价廉 品牌 值得 信赖,0.9999583622508926,信赖 品牌,正面,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
546,faod96xknx88fl,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,目前总体不错，适合选择,0,否,3,32G,1T,2025-10-11,差评,酷睿版,11,目前 总体 不错 ， 适合 选择,适合 选择,0.9775108582669563,不错 总体,正面,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
639,jd_188905iuv,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,自己设的壁纸经常黑屏，不知道为什么，还有就是刚刚拿到的时候激活的时候死机了，总体也还可以吧，,0,否,3,32G,1T,2025-11-20,差评,酷睿版,46,自己 设 的 壁纸 经常 黑屏 ， 不 知道 为什么 ， 还有 就是 刚刚 拿到 的 时候 激活 的 时候 死机 了 ， 总体 也 还 可以 吧 ，,设 壁纸 黑屏 刚刚 拿到 激活 死机,0.018754371299348427,死机 壁纸 时候 激活 总体,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
738,孟可,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,机器没问题，也是9月份生产的，就是刚激活国补就优惠500,1,否,3,32G,1T,2025-10-18,差评,酷睿版,28,机器 没 问题 ， 也 是 9 月份 生产 的 ， 就是 刚 激活 国补 就 优惠 500,机器 没 月份 生产 激活 国补 优惠 500,0.09421203793785005,激活 机器 月份 问题,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
