data_index,用户名,评论日期,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,屏幕大小
1,j***x,2025-11-19,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,京东下单，第二天就送到了，拆开包装完好无损，全新原封，非常好。速度很快！手感和做工非常好，全金属机身，质感高级，各处的接缝、边角处理都很精细，比想象中的还要扎实。键盘手感也超棒，键程舒服回弹给力！妹妹喜欢。屏幕色彩鲜艳又细腻。电脑一直用联想，一直信赖联想。,31,否,5,32G,1T,16
2,h***2,2026-01-21,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,?这款笔记本真的超乎预期！?? 屏幕显示细腻，色彩饱满，看视频特别舒服 ??。键盘手感舒适，打字很顺手 ??。散热表现也很不错，长时间使用也没觉得烫 ??。整体体验非常流畅，值得推荐！??,2,该店铺购买≥2次,5,24G,1T,16
3,一***心,2026-01-24,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,运行速度：运行速度足够快，完全够用屏幕效果：清晰度非常好非常好散热性能：散热没问题，声音小外形外观：高端大气上档次轻薄程度：轻薄好用，重量轻,0,否,5,24G,1T,16
4,B***7,2026-01-24,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,这款笔记本电脑性能不错，运行流畅，日常办公和娱乐毫无压力。屏幕清晰，手感也很好，性价比超高，享受国补，外观大气上档次，非常满意。,1,该店铺购买≥2次,5,24G,1T,16
5,jd_6ntty41ckt5vjf,2026-01-22,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,自己上学时候用的就是联想小新，现在弟弟上学也是直接选择联想小新，现在的笔记本，很轻薄，看着外观高级上档次，联想售后一直都知道，没话说，非常好。,0,否,5,24G,1T,16
6,jd_黑白~银翼,2026-01-07,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,联想GeekPro i7-14700F性能强劲，运行流畅，游戏办公皆宜，散热好，性价比高。处理多任务流畅，游戏体验沉浸，散热佳，价廉物美。,12,该店铺购买≥2次,5,32G,1T,16
7,司马剑龙2011,2026-01-17,16英寸锐龙版 标压锐龙7 H 255|32G 1T,收到货验后一切安好，整体简的大气，薄轻便携，马上开机按指引半小时左右激话完善，试机流畅快速，键盘音轻反应快，总体舒服，其它等多体验再评,3,否,5,32G,1T,16
8,嫡***呢,2025-12-28,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,多任务不卡，存储空间很大，接口够用，有两个type_C的，一个HDMI接口，还有两个USB接口，总之，接口够用！色彩鲜艳，屏幕分辨率高！,3,否,5,32G,1T,14
9,Kimikoyoki,2026-01-19,16英寸锐龙版 标压锐龙7 H 255|24G 1T,使用了一段时间发感觉很好，16 寸的屏幕感觉刚刚轻巧又便于携带，而且整体外观很不错，简洁又大方，非常适合办公人士。,1,该店铺购买≥2次,5,24G,1T,16
10,jd_k77h0whzhckgv0,2026-01-23,16英寸锐龙版 标压锐龙7 H 255|32G 1T,?这款笔记本真的超乎预期！键盘手感舒适，打字很顺手??，接口丰富完全够用??，多任务运行流畅不卡顿?。存储空间也足够日常使用??，整体体验非常棒！??????服务也很贴心，包装严实，配送迅速，值得推荐！????,0,该店铺购买≥2次,5,32G,1T,16
11,风雅一真,2026-01-19,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,之前的联想电脑用了很多年了，现在到了该换的时候了，还是首选了联想电脑??。选了这款14寸的小新，用了一阵，挺好用的，开机速度快，散热也不错，内存空间挺好，总体满意。,1,该店铺购买≥2次,5,32G,1T,14
12,u_668fti5aytk8,2026-01-18,14英寸锐龙版 标压锐龙7 H 255|32G 1T,对电脑很满意，完全符合对联想品牌的预期。性价比很高，显示屏效果相当出色，字体精细税利，色彩鲜艳还准准确。性能玩《无主之地3》完全没问题。,0,否,5,32G,1T,14
13,JL846,2026-01-16,14英寸锐龙版 标压锐龙7 H 255|32G 1T,此型号的笔记本电脑已经多次购买了，电脑运行速度平稳，满足办公需求，散热声音小。同时，京东快递运输速度，第二天就收到包裹了，很高效的，点个赞。,0,该店铺购买≥2次,5,32G,1T,14
14,2***o,2026-01-18,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,虽然尺寸大一些，但是带着小键盘敲数字方便很多，也不经常携带，16寸的比14寸的好，银灰色商务用挺大气，速度挺快，目前还没卡顿感,0,否,5,32G,1T,16
15,丿***l,2026-01-05,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,已经用上了，办公用挺好的。小小的，也够薄，出差带来带去方便。京东还是很方便，下单当天下午就收到了，很是速度，激活就用了。,0,该店铺购买≥10次,5,32G,1T,14
16,n***b,2026-01-09,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,容易携带，不重，多任务基本不卡。键盘手感不错，一般用速度挺快。京东送货快递小哥笑容憨厚，态度非常好。电脑包装很好，一层又一层，还包了发泡塑料。,0,否,5,32G,1T,14
17,Tiramisu7211,2026-01-06,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,?这款笔记本真的超乎期待！?? 屏幕显示细腻，色彩饱满，办公娱乐两不误～? 键盘手感舒适，打字流畅，续航也很给力，出门一整天完全没问题！?? 包装严实，物流迅速，配送员服务贴心，全程体验满分！?? 用起来非常顺手，强烈推荐！????,1,该店铺购买≥2次,5,32G,1T,16
18,丸***爱,2026-01-04,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,给外甥女买的电脑，马上上大学了，需要一个电脑用来学习，听课，配置对于学习来说很好用，大小，显示也很好用，用个几年肯定是没问题的，买的划算,0,否,5,32G,1T,14
19,谈谈情说说爱被,2026-01-08,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,性能释放出色，日常办公与轻度创作流畅自如。屏幕素质惊艳，色彩细腻逼真。机身轻薄便携，续航扎实，一天外出无压力。在这个价位段，它无疑是兼顾体验与性价比的明智之选。,0,否,5,32G,1T,14
20,皓***诗,2025-12-30,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,联想小新这台电脑性能强劲，运行流畅不卡顿，外观简约大气，散热效果出色，续航能力也很给力，无论是办公还是娱乐都能轻松应对，性价比高,0,该店铺购买≥2次,5,32G,1T,14
21,断腿捂者,2025-12-30,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,选了好久还是选了这款笔记本，然后做任务的时候还是不卡电池的续航还可以颜色显示也比较的鲜艳，英雄速度因为不是游戏，所以说没有游戏本那么快，但是也足够用了,0,否,5,32G,1T,16
22,j***r,2026-01-02,14英寸酷睿版 标压酷睿2代Ultra 7|32G 1T,小新笔记本轻薄便携适配校园通勤，护眼屏+长续航hold住满课日程，多开文献、做PPT不卡顿，性价比超贴合学生预算！,0,否,5,32G,1T,14
23,n***s,2026-01-21,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,这款笔记本颜值在线，金属质感十足?，开盖瞬间就被惊艳到～孩子爱不释手，开机快又稳，办公学习两相宜，细节处理也很贴心??。,0,该店铺购买≥2次,5,24G,1T,16
24,j***1,2026-01-01,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,为女儿买的，她德国回来需要轻薄的本子随时带，工作就是这个牌子电脑，所以指定联想，回来验货后很满意，外观漂亮，开机使用流畅，快递包装到位。性价比高。,0,该店铺购买≥2次,5,32G,1T,14
25,jd_rkb45565bta252,2026-01-24,16英寸锐龙版 标压锐龙7 H 255|32G 1T,以前一直用联想小新14笔记本，最近换了一台小新16的32G/1TB的，感觉使用得心应手，外观简洁大方，非常适合办公人士！,0,该店铺购买≥2次,5,32G,1T,16
26,z0ish70tc9zt5s,2025-10-25,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,电脑挺好的，颜值挺好看的，键盘不错,0,否,3,32G,1T,14
27,jd_176136lfx,2026-01-23,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,今天才到，挑了好久最后还是选择了联想，第一个也是联想，老牌子了，还是有保障的。运行速度：挺快的屏幕效果：很好，不大不小用着刚刚好。外形外观：非常好看，轻薄程度：还行吧，不重。,0,该店铺购买≥2次,5,32G,1T,14
28,嘿我是三金,2026-01-08,16英寸酷睿版 标压酷睿2代Ultra 7|32G 1T,非常棒，感谢京东百亿补贴，让我买到了如此性价比高的产品，感谢强东哥，笔记本颜值高，性能抗打，运行速度快，能满足大多数软件游戏，真的很棒。,0,该店铺购买≥2次,5,32G,1T,16
29,591-usd,2026-01-07,14英寸酷睿版 标压酷睿2代Ultra 7|32G 1T,好久没用联想了，灰色机身，质感分量都不错，不愧是国内笔记本第一品牌。不过这电源线有点老式了，好在也是typec。包装到货都很好，点赞,0,该店铺购买≥2次,5,32G,1T,14
30,Landliu,2025-12-29,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,以前用的是2021款，感觉很不错的！更新换代，这次买的是2024款，总体感觉很不错的！好评看得见！很轻便的，外观精美绝伦！,0,该店铺购买≥2次,5,32G,1T,14
31,benlee23,2026-01-22,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,购买的联想小新Pro16酷睿Ultra5版本笔记本电脑。外观设计时尚简洁大气，散热不错。系统反应很快。性价比很高，值得推荐。,0,该店铺购买≥2次,5,32G,1T,16
32,yiwuei,2026-01-12,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,给办公室买一台电脑，第一时间就想到了联想这个老品牌预算有钱，因为只有5000 多元，所以选择的这一款小新pro最新款，目前使用下来的感受还是不错的。,0,否,5,32G,1T,16
33,0***0,2026-01-08,16英寸锐龙版 标压锐龙7 H 255|24G 1T,这个电脑的质感非常的好，我非常的喜欢，用用起来很好，很酷爱反应，非常的速度很灵敏。我知道可以，但是他还是有介绍的空间吧，价格现在也挺贵的,0,该店铺购买≥2次,5,24G,1T,16
34,美***3,2026-01-03,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,使用体验非常流畅，笔记本电脑的轻薄设计便于携带，电池续航能力强。屏幕显示清晰，色彩鲜艳，适合长时间工作或娱乐。键盘手感舒适，打字效率高。总体评价：这款笔记本电脑性能卓越，是高效工作和娱乐的理想选择，强烈推荐。,0,该店铺购买≥2次,5,32G,1T,16
35,jd_5e4ponqs3iqw26,2026-01-18,16英寸锐龙版 标压锐龙7 H 255|32G 1T,我终于买了它了，我已经关注好久了，各方面非常满意，就是还不太熟悉，平时都是用单位的，各方面很陈旧，而小新让我耳目一新，天天练习做东西。,0,否,5,32G,1T,16
36,冰***哟,2026-01-20,16英寸锐龙版 标压锐龙7 H 255|24G 1T,联想小新笔记本的性能很好，运行很流畅，键盘手感也不错，接口很多，可以足够办公使用16 英寸的屏幕非常清晰。物流也很快，服务态度很好。,0,该店铺购买≥2次,5,24G,1T,16
37,天***洋,2026-01-18,16英寸锐龙版 标压锐龙7 H 255|32G 1T,性价比高，享受补贴后很划算。机型拿到很惊艳，16寸看起来很舒服，开机很快，系统丝滑 日常家用办公完全满足。相信联想大品牌。,0,该店铺购买≥2次,5,32G,1T,16
38,枫叶61,2025-12-27,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,包装非常精致其他特色：性价比超级高一直从高中用到现在的品牌发货速度快到货时快递员检查的非常仔细外观设计精美小巧实用已经推荐朋友购买,0,该店铺购买≥2次,5,32G,1T,16
39,jd_135641ytg,2026-01-16,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,1. 这款笔记本电脑的性能卓越，携带方便。评价一：性能出众。这款笔记本电脑的处理器性能强大，无论是进行办公任务还是娱乐活动，都能够轻松处理。内存和存储空间充足，完全满足了我的日常,0,该店铺购买≥2次,5,32G,1T,14
40,j***4,2026-01-25,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,小新Pro闭眼入！酷睿Ultra/锐龙7+极·风神散热，办公多开、轻度创作丝滑无压力 。2.8K高刷屏+高色域，色彩准、亮度足，OLED版观感更绝 。机身轻薄便携，接口齐全，75Wh大电池续航顶，国补价入手，办公学习娱乐全能打，性价比拉满,0,该店铺购买≥10次,5,32G,1T,16
41,哈哦嗯啊,2026-01-17,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,"屏幕体验出色：用户反馈""用了就回不去了""，色彩精准度高，16:10比例提升办公效率，高刷流畅度明显。性能释放充分：多任务处理流畅，剪4K视频预览基本无卡顿，《幻兽帕鲁》全高画质稳定60帧以上。续航能力惊喜：办公场景续航可达5-9小时，""可以不带电源适配器去咖啡厅呆一下午""。外观设计简约：金属机身质感优秀，""不像个性能本""，适合商务办公场景。",0,该店铺购买≥2次,5,32G,1T,16
42,梳***生,2026-01-09,16英寸酷睿版 标压酷睿2代Ultra 7|32G 1T,这台笔记本太给力了！性能强悍，办公娱乐都流畅无比。屏幕清晰色彩正，看视频超享受。续航持久，带出门一整天无压力。轻薄机身颜值高，携带方便。用了这段时间，真心觉得物超所值，强烈推荐！,0,该店铺购买≥2次,5,32G,1T,16
43,j***v,2026-01-05,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,??这款本用起来真的超顺滑，运行速度快到飞起?！存储空间完全够用，多任务切换毫无压力??。电池续航也很给力，一天轻松hold住??！快递包装严实，送货速度飞快??，配送员服务态度超好??！整体体验满分，强烈推荐??！！,0,该店铺购买≥2次,5,32G,1T,16
44,广东吴彦祖和张智霖,2025-12-29,14英寸锐龙版 标压锐龙7 H 255|24G 1T,笔记本很轻便，性能不错，日常使用完全没问题，性价比很高。外形外观：外观不错，很薄，颜值没得说??,1,该店铺购买≥2次,5,24G,1T,14
45,jd_157749lzw,2026-01-20,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,商品以收到，外观很漂亮，显示非常清晰，运行速度很快，声音也很小，适合家庭使用，非常棒,0,该店铺购买≥2次,5,24G,1T,16
46,stupidhgz,2025-11-10,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,还是非常不错的，但是价格偏高，3500才是合理价位,1,否,3,32G,1T,16
47,尚***东,2026-01-24,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,很牛 屏幕很好，性能超级强，随便开个文件夹就能嗖嗖得转圈，看来优化得很好，下次还会买联想,0,该店铺购买≥2次,5,24G,1T,16
48,u***8,2026-01-03,16英寸锐龙版 标压锐龙7 H 255|32G 1T,联想小新16新机性能全面，颜值高，系统运行快。屏幕观感出色，配合长续航，值得拥有。,0,否,5,32G,1T,16
49,三***爷,2026-01-21,16英寸酷睿版 标压酷睿Ultra 5 135H |24G 1T,还是比较薄，灰色看着也大气。开机激活花点时间，但是都很顺利！用了一段时间，豆还挺好,0,该店铺购买≥2次,5,24G,1T,16
50,炎火火火火,2026-01-17,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,笔记本拿起来非常有质感，开机激活也比较便捷。最最重要的是可以领国补，省了大几百，太划算了！！,0,否,5,32G,1T,14
51,VuUbOAjBRvaQ,2026-01-09,16英寸锐龙版 标压锐龙7 H 255|32G 1T,过渡用电脑，办公完全够用，普通打打游戏也不会发热，整体外观简洁顺眼。物流小哥很负责上门送了两次。,1,否,5,32G,1T,16
52,jd_187107qnm,2026-01-10,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,开机速度可以，运行流畅，外观轻薄大方，便于携带，键盘手感很舒适，联想老品牌，值得信赖,1,否,5,32G,1T,14
53,b47645mbb71463,2026-01-04,16英寸锐龙版 标压锐龙7 H 255|24G 1T,外壳金属，很有质感，不重，背出去学习很方便。喜欢这个LED的屏幕，亮度很足，每个角度都清晰。,1,该店铺购买≥2次,5,24G,1T,16
54,o***o,2026-01-25,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,趁着国补，节前下手。性价比很高的笔记本。16寸带小键盘的，方便办公写文件，敲数据。,0,该店铺购买≥2次,5,32G,1T,16
55,moyan161,2025-11-22,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,运行速度：新电脑可以，速度很快，用起来很舒服，用了一段时间才来评价，确实好用屏幕效果：显示细腻，图像清晰。散热性能：可以，游戏也可以玩。外形外观：好看，大小合适。轻薄程度：轻薄,0,该店铺购买≥2次,5,32G,1T,14
56,u_t62zkfqvt6vt,2025-11-15,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,笔记本非常的好用，很流畅，散热效果特别好，还能打游戏，也非常的轻，办公性能也很好，外观非常的好看，运行速度特别快，屏幕很清晰，非常划算这个价格。。,1,否,5,32G,1T,14
57,呆瓜__199,2025-12-12,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,金属感满满的，运行速度：还行，速度很快！屏幕效果：很炫酷的色彩，看起来很舒服散热性能：散热效果还算不错，目前摸着很冰凉外形外观：比较喜欢这外形，很简约，适合我这种的轻薄程度：轻度，而且薄其他特色：其他的也很不错散热能力：散热能力应该很不错，运行速度：等更新完后看看它的运行速度,2,否,5,32G,1T,14
58,齐先生o,2025-12-14,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,一直想买个配置不错的笔记本，朋友推荐联想小新系列，看了标准款，感觉配置有点低，然后就看得pro版本，处理器，内存，硬盘都升级了，基本满足我的需求，平常就基本办公软件，偶尔游戏一下娱乐等，还不错，性能可以，屏幕也行，全金属机身，机器自带正版系统和offce，挺好的，赶上有活动入手还是很划算，物流很快，包装完好，正品行货,0,否,5,32G,1T,16
59,j***1,2025-11-16,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,便携性还行，多任务不卡，存储空间够用，电池续航应该够用，杜比音质非常好，屏幕非常大，显示很清晰，键盘带背光，AI场景检测功能太好用了，开盖开机和人脸锁屏解锁特别方便，写代码听音乐简直爽死,0,该店铺购买≥2次,5,32G,1T,16
60,爱媳妇的龙,2025-11-09,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,接口非常丰富，完全满足日常办公需求。开机速度很快，响应很灵敏，特别是离开自动锁屏，返回自动解锁，真心好用。屏幕显示也很细腻、很有质感，期待各种解锁新技能新发现。客服也很热情，京东，给力??,0,该店铺购买≥2次,5,32G,1T,14
61,大大幽默,2025-12-12,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,这款电脑真的超出预期，开机速度嗖嗖的，十秒不到就能进入系统，日常办公、做表格、查资料完全不卡顿，偶尔玩个中型游戏也能流畅运行，散热效果也不错，连续开几小时机身都只是温温的。屏幕色彩很正，画质清晰，看视频、处理图片都很舒服，键盘敲击手感也很好，回弹适中，长时间打字不累手。,0,该店铺购买≥2次,5,32G,1T,16
62,u***u,2025-12-09,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,已购45天，目前一切良好，唯独自定义壁纸有时候会显示不出来（显示出来的是纯黑色背景），不知道什么原因，也干脆不设置了。下载一两个大型游戏运行起来会有轻微卡顿。音响音质有待提升。外壳磨砂质感很好，整体很有质感。画质很清晰。,0,否,5,32G,1T,16
63,jd_jZUvIzZqQhhB,2025-12-09,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,屏幕效果：挺可爱的，完了14寸正好够我使用，就是稍微沉了一点，不过嗯我够用了，嗯，挺好的一个t的。谢谢京东，谢谢品牌方，收到电脑很好 很满意！散热性能：好,2,该店铺购买≥2次,5,32G,1T,14
64,上***1,2025-11-14,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,一直用联系笔记本，这次是给孩子买的，包装很好，全新无瑕疵，做工精致，屏幕很清晰，性能够用，轻薄携带方便。京东快递也非常快，好评。,0,否,5,32G,1T,14
